Company,Name,YearOfManufacture,Status,Body,DistanceUsed,Doors,Seats,FuelType,FuelAmount,GearBox,Drivetrain,FuelConsumption,Price
Ford, Ford Focus Titanium 1.5Ecoboost - 2019,2019,used,Sedan,38000,4,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,9,545000000
Ford, Ford EcoSport Titanium 1.5L AT - 2021,2021,used,SUV,15000,5,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,6,525000000
Ford, Ford Focus Titanium 2.0L AT - 2015,2015,used,Sedan,17000,4,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,8,415000000
Ford, Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,7,640000000
Ford, Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,new,SUV,0,5,7,Dầu,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1229000000
Ford, Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,new,SUV,0,5,7,Dầu,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1229000000
Lexus, Lexus RX 350 - 2019,2019,used,SUV,37000,5,5,Xăng,3.5,Số tự động,AWD - 4 bánh toàn thời gian,null,3100000000
Mazda, Mazda 3 1.6 AT - 2010,2010,used,Hatchback,42000,5,5,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,null,310000000
Mercedes, Mercedes Benz E class E200 - 2018,2018,used,Sedan,29000,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,7,1199000000
Ford, Ford Ranger XLS 2.2L 4x2 MT - 2022,2022,used,Bán tải ,17000,4,5,Dầu,null,Số tay,RFD - Dẫn động cầu sau,8,532000000
Ford, Ford EcoSport Titanium 1.5L AT - 2019,2019,used,SUV,52345,5,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,475000000
Ford, Ford Ranger XLS 2.2L 4x2 MT - 2020,2020,used,Bán tải ,35000,4,5,Dầu,null,Số tay,RFD - Dẫn động cầu sau,8,499000000
Lexus, Lexus LX 570 - 2014,2014,used,SUV,0,5,7,Xăng,5.7,Số tự động,AWD - 4 bánh toàn thời gian,null,2000000000
Mazda, Mazda 323 1.6 MT - 2000,2000,used,Sedan,386899,4,5,Xăng,1.6,Số tay,FWD - Dẫn động cầu trước,7,50000000
Ford, Ford Focus Trend 1.6 AT - 2015,2015,used,Hatchback,47000,5,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,8,366000000
Ford, Ford Ranger Raptor 2.0L 4x4 AT - 2018,2018,used,Bán tải ,66000,4,5,Dầu,2.0,Số tự động,4WD - Dẫn động 4 bánh,7,950000000
Honda, Honda City 1.5TOP - 2018,2018,used,Sedan,91000,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,7,465000000
Hyundai, Hyundai Creta Tiêu chuẩn 1.5AT - 2022,2022,used,Crossover,14000,5,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,null,620000000
Kia, Kia Morning EX 1.1 MT - 2010,2010,used,Hatchback,12000,5,5,Xăng,1.1,Số tay,FWD - Dẫn động cầu trước,6,115000000
Hyundai, Hyundai 3.5 tấn - 2004,2004,used,Truck,2000,2,3,Dầu,null,Số tay,RFD - Dẫn động cầu sau,10,175000000
